age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,two_year_recid,sex,c_charge_degree
69.0,0.0,0.0,0.0,0.0,0.0,Male,charge_degree_F
35.0,0.0,0.0,0.0,0.0,1.0,Male,charge_degree_F
34.27628361858191,0.0,0.0,1.819070904645477,3.0,0.1809290953545231,Male,charge_degree_F
50.0,0.0,0.0,0.0,0.0,0.0,Male,charge_degree_F
43.0,0.0,0.0,0.0,2.0,0.0,Male,charge_degree_F
44.0,0.0,0.0,0.0,0.0,0.0,Male,charge_degree_M
47.0,0.0,0.0,0.0,2.0,0.0,Male,charge_degree_F
23.879380603096987,0.0,0.0,0.0,3.0,1.0,Male,charge_degree_M
41.0,0.0,0.0,0.0,0.0,0.0,Male,charge_degree_F
38.0,0.0,0.0,0.0,5.0,1.0,Male,charge_degree_F
37.0,0.0,0.0,0.0,0.0,0.0,Male,charge_degree_M
25.482477587612063,0.0,0.0,0.0,2.939690301548492,0.0,Male,charge_degree_F
69.0,0.0,0.0,0.0,6.0,1.0,Male,charge_degree_F
46.0,0.0,0.0,0.0,0.0,0.0,Male,charge_degree_F
30.45721271393643,0.0,0.0,0.0,1.0,1.0,Male,charge_degree_F
39.0,0.0,0.0,0.0,0.0,0.0,Male,charge_degree_M
37.20619396903015,0.0,0.0,0.0,5.0,1.0,Female,charge_degree_F
32.48247758761206,0.0,0.0,1.0,3.8793806030969846,0.0,Female,charge_degree_F
34.24123879380603,0.0,0.0,0.0,0.0,1.0,Male,charge_degree_F
50.0,0.0,0.0,0.0,1.0,0.0,Male,charge_degree_F
51.0,0.0,0.0,0.0,6.000000000000001,1.0,Male,charge_degree_F
61.0,0.0,0.0,0.0,1.0,0.0,Male,charge_degree_F
24.0,0.0,0.0,1.0,2.0,0.0,Female,charge_degree_F
54.0,0.0,0.0,0.0,1.0,0.0,Female,charge_degree_M
51.0,0.0,0.0,0.0,7.0,0.0,Female,charge_degree_F
30.481662591687368,0.0,0.0,0.0,0.0,1.0,Male,charge_degree_F
61.0,0.0,0.0,0.0,0.0,0.0,Female,charge_degree_F
43.41238793806031,0.0,0.0,0.0,2.5175224123879385,1.0,Male,charge_degree_M
29.0,0.0,0.0,0.0,0.0,0.0,Male,charge_degree_F
28.0,0.0,0.0,0.0,0.0,0.0,Female,charge_degree_F
64.81907090464549,0.0,0.0,0.0,0.1809290953545231,0.0,Female,charge_degree_F
33.0,0.0,0.0,1.0,14.0,0.0,Male,charge_degree_F
24.0,0.0,0.0,0.0,2.0,1.0,Male,charge_degree_F
30.0,0.0,0.0,0.0,0.0,0.0,Male,charge_degree_M
49.0,0.0,0.0,0.0,4.0,0.0,Male,charge_degree_M
35.54278728606357,0.0,0.0,0.0,4.879380603096985,0.0,Male,charge_degree_F
68.12061939690301,0.0,0.0,0.0,3.819070904645477,0.0,Male,charge_degree_M
29.0,0.0,0.0,2.0,14.0,1.0,Male,charge_degree_F
23.0,0.0,0.0,2.0,1.0,1.0,Male,charge_degree_F
23.0,0.0,0.0,2.0,2.0,1.0,Male,charge_degree_F
30.0,0.0,0.0,0.0,4.0,1.0,Male,charge_degree_F
62.0,0.0,0.0,0.0,0.0,0.0,Male,charge_degree_M
32.0,0.0,1.0,0.0,5.0,1.0,Male,charge_degree_F
34.0,0.0,0.0,0.0,0.0,0.0,Male,charge_degree_M
56.0,0.0,0.0,0.0,0.0,0.0,Female,charge_degree_M
47.0,0.0,0.0,0.0,5.0,1.0,Male,charge_degree_F
22.000000000000004,0.0,0.0,0.0,1.0,0.0,Female,charge_degree_F
51.0,0.0,0.0,0.0,0.0,0.0,Male,charge_degree_M
36.0,0.0,0.0,0.0,4.0,1.0,Male,charge_degree_F
46.0,0.0,0.0,0.0,1.0,0.0,Male,charge_degree_F
24.281988590057107,0.0,0.0,0.0,1.0,1.0,Female,charge_degree_M
26.180929095354525,0.0,0.0,0.0,1.0,1.0,Female,charge_degree_F
33.0,0.0,0.0,0.0,0.0,0.0,Male,charge_degree_F
41.87938060309698,0.0,0.0,0.0,1.0,0.0,Male,charge_degree_M
43.48247758761206,0.0,0.0,0.0,3.8793806030969846,0.0,Male,charge_degree_M
50.0,0.0,0.0,0.0,0.0,1.0,Male,charge_degree_F
38.32681336593317,0.9396903015484923,5.638141809290953,0.0,12.2159739201304,0.0,Male,charge_degree_F
20.0,0.0,0.0,0.0,0.0,1.0,Male,charge_degree_F
26.000000000000004,0.0,0.0,0.0,2.0,0.0,Male,charge_degree_F
27.0,0.0,0.0,1.0,2.0,1.0,Male,charge_degree_M
35.0,0.0,0.0,0.0,1.0,0.0,Female,charge_degree_M
36.0,0.0,0.0,0.0,9.0,1.0,Male,charge_degree_F
35.91931540342302,0.0,0.0,0.0,0.4474327628361847,0.4474327628361847,Male,charge_degree_F
78.87938060309699,0.0,0.0,0.0,1.0,0.1206193969030154,Male,charge_degree_M
44.0,0.0,0.0,0.0,0.0,0.0,Female,charge_degree_M
19.0,0.0,0.0,0.0,1.0,1.0,Male,charge_degree_M
24.0,0.0,0.0,0.0,1.0,0.0,Male,charge_degree_F
35.0,0.0,0.0,0.0,1.0,0.0,Male,charge_degree_F
67.87938060309699,0.0,0.0,0.0,2.1206193969030154,0.0,Male,charge_degree_F
23.0,0.0,0.0,1.0,4.0,1.0,Male,charge_degree_F
33.0,0.0,0.0,0.0,5.0,1.0,Male,charge_degree_F
37.0,0.0,0.0,0.0,3.0,0.0,Male,charge_degree_F
56.79380603096985,0.0,0.0,0.0,1.603096984515077,1.0,Male,charge_degree_F
22.361858190709047,0.0,0.0,0.0,0.0,1.0,Male,charge_degree_F
67.0,0.0,0.0,0.0,0.0,0.23553382233077547,Male,charge_degree_F
46.0,0.0,0.0,0.0,0.0,0.0,Male,charge_degree_M
30.0,0.0,0.0,0.0,1.0,0.0,Female,charge_degree_F
29.542787286063568,0.0,0.0,0.0,2.939690301548492,1.0,Male,charge_degree_F
60.51752241238794,0.0,0.0,0.0,4.361858190709047,0.0,Male,charge_degree_F
41.12061939690302,0.0,0.0,0.0,13.939690301548492,1.0,Male,charge_degree_F
44.0,0.0,0.0,0.0,1.0,0.0,Female,charge_degree_M
25.4319478402608,0.0,0.0,0.0,0.0,0.0,Female,charge_degree_M
36.51344743276283,0.0,0.0,0.0,2.828850855745723,1.0,Female,charge_degree_F
32.422167889160555,0.0,0.0,0.0,2.939690301548492,1.0,Male,charge_degree_F
31.904645476772618,0.0,0.0,0.0,0.9396903015484923,0.0,Male,charge_degree_M
20.0,0.0,0.0,0.0,1.0,0.0,Female,charge_degree_F
57.0,0.0,0.0,0.0,1.0,0.0,Male,charge_degree_F
35.85819070904646,0.0,0.0,0.0,9.256723716381416,0.6283618581907078,Female,charge_degree_F
41.88916055419724,0.0,0.0,0.0,5.0,1.0,Female,charge_degree_M
32.12061939690302,0.0,0.0,0.0,0.0,1.0,Female,charge_degree_F
42.0,0.0,0.0,0.0,4.0,1.0,Female,charge_degree_F
27.0,0.0,0.0,0.0,2.0,1.0,Male,charge_degree_F
20.0,0.0,0.0,0.0,0.8541157294213538,0.0,Female,charge_degree_F
62.12061939690302,0.0,0.0,0.0,0.8793806030969846,0.8793806030969846,Female,charge_degree_M
56.81907090464548,0.0,0.0,0.0,9.180929095354523,1.0,Male,charge_degree_F
63.0,0.0,0.0,0.0,1.0,0.0,Male,charge_degree_F
40.0,0.0,0.0,0.0,3.0,1.0,Female,charge_degree_F
29.0,0.0,0.0,0.0,1.0,0.0,Male,charge_degree_F
46.0,0.0,0.0,0.0,1.0,0.0,Female,charge_degree_F
38.0,0.0,0.0,0.0,1.0,1.0,Female,charge_degree_M
55.36185819070905,0.0,0.0,0.0,2.8190709046454767,0.0,Male,charge_degree_M
49.0,0.0,0.0,0.0,0.0,0.0,Male,charge_degree_F
22.0,0.0,0.0,0.0,1.0,0.0,Male,charge_degree_F
25.0,0.0,0.0,0.0,1.0,1.0,Female,charge_degree_M
23.0,0.0,0.0,0.0,0.0,0.0,Male,charge_degree_F
