"S","X1","X2","pred","type","id_indiv"
"White",3.1,39,0.52378594830862,"factual",1
"White",3,36,0.46669133224182,"factual",2
"White",3.1,30,0.391548653327945,"factual",3
"White",3.4,37,0.531463497489171,"factual",4
"White",3.6,30.5,0.459797039794009,"factual",5
"White",3.6,36,0.541506700654796,"factual",6
"White",2.7,37,0.444283543393928,"factual",7
"White",2.6,37,0.431982070638357,"factual",8
"White",3.6,31,0.467201988206915,"factual",9
"White",3.2,41,0.56569438907178,"factual",10
"White",3.1,35,0.464306641098176,"factual",11
"White",3.2,35,0.476756008247724,"factual",12
"White",2.9,35,0.439556034895517,"factual",13
"White",2.3,41,0.453768045668294,"factual",14
"White",3.3,30.5,0.422850956223398,"factual",15
"White",3,36,0.46669133224182,"factual",16
"White",3.9,40,0.635193629829903,"factual",17
"White",3.4,36,0.516609489461505,"factual",18
"White",2.7,29,0.331754592473122,"factual",19
"White",3.2,37,0.506517919194709,"factual",20
"White",3.1,30,0.391548653327945,"factual",21
"White",3.1,40,0.538616382192265,"factual",22
"White",3.6,37,0.556252804892157,"factual",23
"Black",2.8,29,0.132559017652514,"factual",24
"White",2.8,34,0.412777320687575,"factual",25
"White",3,35,0.451901598239967,"factual",26
"White",3.4,40,0.575589792519427,"factual",27
"White",2.6,36,0.417431335507245,"factual",28
"White",2.9,29,0.354272175612619,"factual",29
"White",2.5,35,0.391059994976005,"factual",30
"White",3.4,32,0.457162784227181,"factual",31
"White",2.7,36,0.429631858185027,"factual",32
"White",3.3,36,0.504122090748564,"factual",33
"White",2.5,36,0.405331063356028,"factual",34
"White",3.6,38,0.570900460029802,"factual",35
"White",3.6,36,0.541506700654796,"factual",36
"White",3.2,32.5,0.439808751538871,"factual",37
"White",3.5,27,0.39661564213642,"factual",38
"White",2.4,36,0.39334472018223,"factual",39
"Black",3.2,19,0.0932818801511786,"factual",40
"White",3.7,34,0.524297659847413,"factual",41
"White",3.1,35,0.464306641098176,"factual",42
"White",2.8,36,0.441918473305795,"factual",43
"White",3.7,38,0.583096915395176,"factual",44
"White",3.2,34,0.461923580989951,"factual",45
"White",2.8,38,0.471465175503947,"factual",46
"White",3.4,36,0.516609489461505,"factual",47
"White",3.5,42,0.616279138877612,"factual",48
"White",2.3,29,0.289018713955231,"factual",49
"White",3.7,31,0.479659475757423,"factual",50
"Black",2.6,23,0.0881998618266989,"factual",51
"White",3.8,37,0.580765153185158,"factual",52
"White",3.3,33,0.459542259583161,"factual",53
"White",3.3,35,0.489234325063854,"factual",54
"White",3.2,36,0.49162954733746,"factual",55
"White",2.4,35.5,0.386261725291117,"factual",56
"White",3.4,41,0.590069544154612,"factual",57
"White",3.5,34,0.499329975950928,"factual",58
"White",3.3,29,0.401211935987962,"factual",59
"White",3.3,33,0.459542259583161,"factual",60
"White",2.9,32,0.396124777060456,"factual",61
"White",2.3,39,0.424439776693183,"factual",62
"White",3.4,39,0.560979114940055,"factual",63
"White",3,39,0.511308568191986,"factual",64
"White",3.8,32,0.507030722419275,"factual",65
"White",3.3,29,0.401211935987962,"factual",66
"White",3,31,0.39383438702779,"factual",67
"White",3.3,36,0.504122090748564,"factual",68
"Black",2.4,27,0.0999724790569242,"factual",69
"White",3.5,30,0.440061499391557,"factual",70
"White",3.5,38,0.558617287556065,"factual",71
"White",2.8,34,0.412777320687575,"factual",72
"White",3.7,37,0.568550956809039,"factual",73
"White",3,43,0.570397802755683,"factual",74
"White",2.9,42,0.543376336521826,"factual",75
"White",3.4,33.5,0.479403456821001,"factual",76
"White",2.9,25,0.301841315181108,"factual",77
"White",3.4,38,0.546261956004079,"factual",78
"White",3.6,42,0.628026166420887,"factual",79
"White",3.5,37,0.543885328388349,"factual",80
"White",3.5,29.5,0.432737336931634,"factual",81
"White",3.1,41,0.553378775110249,"factual",82
"White",3.6,38,0.570900460029802,"factual",83
"White",3.2,42,0.580265555698618,"factual",84
"White",3.3,35.5,0.496677471449972,"factual",85
"White",3.6,36,0.541506700654796,"factual",86
"White",3.5,39,0.573246772282484,"factual",87
"White",2.9,28,0.340768655820647,"factual",88
"White",3.3,42,0.592385877308212,"factual",89
"White",3.5,43,0.630262414295859,"factual",90
"White",3.1,43,0.582598099538154,"factual",91
"White",3.2,35,0.476756008247724,"factual",92
"White",3.7,40,0.611736122009854,"factual",93
"White",2.5,42,0.493512336242022,"factual",94
"White",2.7,42,0.518490373993496,"factual",95
"White",3.7,40,0.611736122009854,"factual",96
"White",3.5,38,0.558617287556065,"factual",97
"White",3.3,40,0.563338183221108,"factual",98
"White",3.5,39,0.573246772282484,"factual",99
"White",3.6,36,0.541506700654796,"factual",100
"White",3.6,38,0.570900460029802,"factual",101
"White",3,36,0.46669133224182,"factual",102
"White",3.2,39,0.536233706793661,"factual",103
"White",3.9,37,0.592881170051337,"factual",104
"White",2.7,31.5,0.365547838177773,"factual",105
"White",4,41,0.660179656765122,"factual",106
"White",3,41,0.540997294526628,"factual",107
"White",3.3,36,0.504122090748564,"factual",108
"White",3.8,35,0.551516291387436,"factual",109
"White",3.7,39,0.597499646535722,"factual",110
"White",3.8,37,0.580765153185158,"factual",111
"White",3.1,37,0.494025153956732,"factual",112
